Service,Access Route,AR For Paper,Default?,Description,Credential Check 1,Credential Check 2,Credential Check 3,Credential Check 4,Credential Check 5,
adobe.com,1 time challenge to primary contact,1 time challenge to primary contact,,"2 different access route instantiations for login vs recovery, password change required in recovery path, can avoid signing out sessions",Primary contact,1 time challenge,Access to primary contact,,,
adobe.com,1 time challenge to alternate contact(s),1 time challenge to alternate contact(s),,"Password change required, can avoid signing out sessions, sends code to all contacts of same type",Primary Contact,1 time challenge,Access to alternate contact,,,
adobe.com,SSO access with primary contact,SSO access with primary contact,,,Access to Primary Contact SSO Account,,,,,
adobe.com,Saved Bearer Token,Saved Bearer Token,,,Primary Contact,Bearer Token,,,,
adobe.com,SSO access with any contact,SSO access with any contact,,,Access to SSO account,,,,,
vimeo.com,Password,Password,Y,,Primary contact,Password,,,,
vimeo.com,1 time challenge to primary contact,1 time challenge to primary contact,,Password change required,Primary contact,1 time challenge ,Access to primary contact,,,
vimeo.com,SSO access with primary contact,SSO access with primary contact,,,Access to Primary Contact SSO Account,,,,,
spotify.com,Password,Password,,,Primary contact,Password,,,,
spotify.com,1 time challenge to primary contact,1 time challenge to primary contact,Y,,Primary contact,1 time challenge ,Access to primary contact,,,
spotify.com,SSO access with any contact,SSO access with any contact,,,Access to SSO account,,,,,
bit.ly,Password,Password,Y,,Primary contact,Password,,,,
bit.ly,SSO access with primary contact,SSO access with primary contact,,,Access to Primary contact SSO account,,,,,
bit.ly,1 time challenge to primary contact,1 time challenge to primary contact,,Requires password change,Primary contact or Alternate contact,1 time challenge,Access to primary contact,,,
wordpress.com,Password,Password,Y,Primary contact and username are default,Primary contact or Username,Password,,,,
wordpress.com,1 time challenge to primary contact,1 time challenge to primary contact,,"2 different access route instantiations for login vs recovery, password change required in recovery path",Primary contact,1 time challenge ,Access to primary contact,,,
wordpress.com,SSO access with any contact,SSO access with any contact,,,Access to SSO account,,,,,
wordpress.com,SSO access with primary contact,SSO access with primary contact,,,Access to primary contact SSO account,,,,,
roblox.com,Password,Password,Y,Username is default.,Primary contact or Username,Password,,,,
roblox.com,Passkey,Passkey,,Requires 2fa for config,Passkey,,,,,
roblox.com,1 time challenge to external device,1 time challenge to external device,,Must be roblox active session or roblox app,1 time challenge,Access to external app,,,,
roblox.com,1 time challenge to primary contact,1 time challenge to primary contact,,Requires password change,Primary Contact,1 time challenge,Access to primary contact,,,
wikipedia.com,Password,Password,Y,,Username,Password,,,,
wikipedia.com,1 time challenge to primary contact,1 time challenge to primary contact,,Requires password change,Primary contact,1 time challenge ,Access to primary contact,,,
wikipedia.com,Saved Bearer Token,Saved Bearer Token,,,Primary Contact,Bearer Token,,,,
